"Sample_ID","NMDS1","NMDS2","NMDS3","Sample_type","Phylum","Class","Order","Family","Genus","Species","Common_name","Leaf_type","DOC(uM)","TDN(uM)","Tf_volume(mL)","DOCflux(mg)","TDNflux(mg)","Comments","TreeID","Tree_DBH(cm)","Road_distance","Road_direction","Building_distance","Building_direction","Train_distance","Train_direction"
"RM01",-0.5880418324668,-0.131828101174456,-0.0169545490961936,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","rubrum","Red maple","leaves",NA,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,NA,NA
"RM02",0.348275527800373,-0.0338486777054112,0.0925157718521705,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","rubrum","Red maple","leaves",393.5640355,NA,NA,NA,NA,NA,742,NA,NA,NA,NA,NA,NA,NA
"RM03",0.383883294073659,-0.0665438819213987,0.0333710730163771,"Throughfall","Anthophyta","Dicotyledoneae","Sapindales","Sapindaceae","Acer","rubrum","Red maple","leaves",292.5773722,NA,NA,NA,NA,NA,789,NA,NA,NA,NA,NA,NA,NA
"RO01",0.170504469730065,-0.691887878793407,-0.221958795701747,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","rubra","Red oak","leaves",1154.567019,NA,NA,NA,NA,NA,1248,NA,NA,NA,NA,NA,NA,NA
"RO02",0.273777276393645,-0.156385657737771,-0.132439390419882,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","rubra","Red oak","leaves",315.8928824,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
"RO03",0.57306427464027,0.0477341168151202,-0.0446379519071748,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","rubra","Red oak","leaves",1523.985017,NA,NA,NA,NA,NA,543,NA,NA,NA,NA,NA,NA,NA
"RP01",0.118894259861083,0.264086102981328,-0.0608228195134075,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Pinus","resinosa","Red pine","needles",4642.153469,NA,NA,NA,NA,NA,839,NA,NA,NA,NA,NA,NA,NA
"RP02",-0.202881678542911,0.370349155895175,-0.190185007504428,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Pinus","resinosa","Red pine","needles",6296.120051,NA,NA,NA,NA,NA,822,NA,NA,NA,NA,NA,NA,NA
"RP03",-0.160030946490058,0.397099263457796,-0.271701153745144,"Throughfall","Coniferophyta","Pinopsida","Pinales","Pinaceae","Pinus","resinosa","Red pine","needles",6102.295035,NA,NA,NA,NA,NA,748,NA,NA,NA,NA,NA,NA,NA
"SB01",0.211665075003855,-0.50209460730857,0.168362192565111,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","virginiana","Sweetbay magnolia","leaves",148.2092412,NA,NA,NA,NA,NA,1310,NA,NA,NA,NA,NA,NA,NA
"SB02",-0.61072289527318,-0.567365363769395,0.396258833302979,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","virginiana","Sweetbay magnolia","leaves",NA,NA,NA,NA,NA,NA,1301,NA,NA,NA,NA,NA,NA,NA
"SB03",0.349444183627454,-0.155675628196547,-0.0753752236885869,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","virginiana","Sweetbay magnolia","leaves",291.776329,NA,NA,NA,NA,NA,1073,NA,NA,NA,NA,NA,NA,NA
"SG01",0.379896150251872,0.0890454648104572,0.0706922580672295,"Throughfall","Anthophyta","Dicotyledoneae","Saxifragales","Altingiaceae","Liquidambar","styraciflua","Sweetgum","leaves",932.8464007,NA,NA,NA,NA,NA,739,NA,NA,NA,NA,NA,NA,NA
"SG02",0.348077410777466,0.109529035598206,0.0606967650225271,"Throughfall","Anthophyta","Dicotyledoneae","Saxifragales","Altingiaceae","Liquidambar","styraciflua","Sweetgum","leaves",5192.901701,NA,NA,NA,NA,NA,791,NA,NA,NA,NA,NA,NA,NA
"SG03",0.502362597698099,-0.0601369805070535,0.0768671269507643,"Throughfall","Anthophyta","Dicotyledoneae","Saxifragales","Altingiaceae","Liquidambar","styraciflua","Sweetgum","leaves",1110.569164,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA
"SM01",0.377806373740876,0.176384762084708,-0.0805397952602052,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","soulangeana","Saucer magnolia","leaves",1511.530459,NA,NA,NA,NA,NA,1340,NA,NA,NA,NA,NA,NA,NA
"SM02",0.27199795803,-0.244704818562009,0.0141641357031593,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","soulangeana","Saucer magnolia","leaves",354.3887892,NA,NA,NA,NA,NA,1389,NA,NA,NA,NA,NA,NA,NA
"SM03",0.34922825376158,-0.0986090589721938,0.0249269256472688,"Throughfall","Anthophyta","Dicotyledoneae","Magnoliales","Magnoliaceae","Magnolia","soulangeana","Saucer magnolia","leaves",351.218538,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,NA,NA
"SO01",-0.526390085072902,-0.0199565060336421,0.00493225394175466,"Throughfall","Anthophyta","Dicotyledoneae","Fagales","Fagaceae","Quercus","acutissima","Sawtooth oak","leaves",NA,NA,NA,NA,NA,"Grass clippings",562,NA,NA,NA,NA,NA,NA,NA
