Sample_ID,Tree_ID,Sample_type,Phylum,Class,Order,Family,Genus,Species,Latin,PhyloName,CommonName,Leaf_type,Tf_volume_mL,DOC_uM,DOC_mgL-1,DOCflux_mg,TDN_uM,TDN_mgL-1,TDNflux_mg,Comments,DBH_cm,Condition,Defects,Recommendation,Priority,Additional,Location,x,y,OL_dist,OL_angle,OL_sin,OL_cos,GL_dist,GL_angle,GL_sin,GL_cos,CR_dist,CR_angle,CR_sin,CR_cos,BLDG_dist,BLDG_angle,BLDG_sin,BLDG_cos,ROAD_dist,ROAD_angle,ROAD_sin,ROAD_cos,TRAIN_dist,TRAIN_angle,TRAIN_sin,TRAIN_cos
HL03,740,Throughfall,Anthophyta,Dicotyledoneae,Fabales,Fabaceae,Gleditsia,triacanthos,Gleditsia triacanthos,Gleditsia_triacanthos_ott677313,Honeylocust,leaves,126.5,#N/A,#N/A,#N/A,81.03640585,1.134509682,0.143515475,,17,Fair,Canopy grows into nearby trees. Deadwood over lawn. Multiple large diameter limbs,Clear from nearby trees. Crown clean. Reduce large limbs,Low, ,Dana Research Center near Forsyth,-71.089639,42.337839,131.582802,-45.041266,-0.707615876,0.70659732,291.024794,120.880412,0.858240423,-0.513247871,164.753737,-42.785743,-0.679258708,0.733898908,19.563212,27.995825,0.469407223,0.8829818,22.059874,-164.552836,-0.266349639,-0.963876481,131.582802,-45.041266,-0.707615876,0.70659732
IO01A,936,Throughfall,Anthophyta,Dicotyledoneae,Fagales,Fagaceae,Quercus,frainetto,Quercus frainetto,Quercus_frainetto_ott1065845,Italian oak,leaves,402.2,2117.634012,25.41160814,10.2205488,137.6769967,1.927477953,0.775231633,Bucket A,11,Good,Canopy near building. Vertical seam/frost crack from base to 10 feet,Monitor,Medium, ,Curry Student Center facing Robinson,-71.08723,42.33927,92.007031,-43.747883,-0.691486365,0.722389512,232.749584,118.375497,0.879851897,-0.475247977,110.106789,-42.096372,-0.670379635,0.742018291,6.177068,148.945439,0.515854095,-0.856676457,70.357102,-44.08825,-0.695765511,0.718268998,92.007031,-43.747883,-0.691486365,0.722389512
IO01B,936,Throughfall,Anthophyta,Dicotyledoneae,Fagales,Fagaceae,Quercus,frainetto,Quercus frainetto,Quercus_frainetto_ott1065845,Italian oak,leaves,204.5,2896.885751,34.76262901,7.108957633,157.7770783,2.208879096,0.451715775,Bucket B,11,Good,Canopy near building. Vertical seam/frost crack from base to 10 feet,Monitor,Medium, ,Curry Student Center facing Robinson,-71.08723,42.33927,92.007031,-43.747883,-0.691486365,0.722389512,232.749584,118.375497,0.879851897,-0.475247977,110.106789,-42.096372,-0.670379635,0.742018291,6.177068,148.945439,0.515854095,-0.856676457,70.357102,-44.08825,-0.695765511,0.718268998,92.007031,-43.747883,-0.691486365,0.722389512
IO01C,936,Throughfall,Anthophyta,Dicotyledoneae,Fagales,Fagaceae,Quercus,frainetto,Quercus frainetto,Quercus_frainetto_ott1065845,Italian oak,leaves,428.5,2455.477551,29.46573061,12.62606557,146.5982043,2.05237486,0.879442627,Bucket C,11,Good,Canopy near building. Vertical seam/frost crack from base to 10 feet,Monitor,Medium, ,Curry Student Center facing Robinson,-71.08723,42.33927,92.007031,-43.747883,-0.691486365,0.722389512,232.749584,118.375497,0.879851897,-0.475247977,110.106789,-42.096372,-0.670379635,0.742018291,6.177068,148.945439,0.515854095,-0.856676457,70.357102,-44.08825,-0.695765511,0.718268998,92.007031,-43.747883,-0.691486365,0.722389512
JM01,631,Throughfall,Anthophyta,Dicotyledoneae,Sapindales,Sapindaceae,Acer,palmatum,Acer palmatum,Acer_palmatum_ott506130,Japanese maple,leaves,449.1,3304.986823,39.65984188,17.81123499,188.1933948,2.634707527,1.18324715,Sango kaku variety,4,Good,None,None,None at this time, ,Stearns facing Volpe,-71.091288,42.339098,395.487409,-45.041266,-0.707615876,0.70659732,36.856913,118.199441,0.881308062,-0.472542167,428.297496,-42.790675,-0.679321879,0.733840435,0.637251,-151.972476,-0.469895663,-0.882721964,27.624443,117.191303,0.889485747,-0.456962916,36.856913,118.199441,0.881308062,-0.472542167
JM02,640,Throughfall,Anthophyta,Dicotyledoneae,Sapindales,Sapindaceae,Acer,palmatum,Acer palmatum,Acer_palmatum_ott506130,Japanese maple,leaves,554.2,#N/A,#N/A,#N/A,47.02352253,0.658329315,0.364846107,Mikawa Yatsubusa variety,16,Fair,Codominant at 2 feet with decay at union and in all leads and multiple braches,Reduce,Medium, ,Volpe Hall facing Stearns,-71.091057,42.339024,369.4189,-45.041266,-0.707615876,0.70659732,58.853787,118.199441,0.881308062,-0.472542167,401.845384,-42.790675,-0.679321879,0.733840435,0,0,0,1,49.292951,117.121047,0.890045405,-0.455871887,58.853787,118.199441,0.881308062,-0.472542167
JM03,403,Throughfall,Anthophyta,Dicotyledoneae,Sapindales,Sapindaceae,Acer,palmatum,Acer palmatum,Acer_palmatum_ott506130,Japanese maple,leaves,736.9,#N/A,#N/A,#N/A,65.70281535,0.919839415,0.677829665,,3,Good,None,None,None at this time, ,Behrakis HSC,-71.091481,42.337104,208.255793,-39.677119,-0.638460508,0.769654585,294.821957,118.395078,0.879689428,-0.475548641,243.846184,-43.850227,-0.692775622,0.7211532,4.198157,-101.277217,-0.980692497,-0.195556199,40.900252,-4.857423,-0.084676507,0.996408495,208.255793,-39.677119,-0.638460508,0.769654585
KA01,944,Throughfall,Anthophyta,Dicotyledoneae,Hamamelidales,Cercidiphyllaceae,Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Cercidiphyllum_japonicum_ott324758,Katsuratree,leaves,376,3940.319271,47.28383125,17.77872055,73.27143166,1.025800043,0.385700816,,15,Poor,Dieback. Has been reduced,Monitor,Medium, ,Robinson facing Hurtig Hall,-71.0865,42.339428,48.553066,-41.34708,-0.66061876,0.750721556,248.963343,117.250619,0.889012195,-0.45788352,65.717003,-42.096372,-0.670379635,0.742018291,2.484981,-151.974844,-0.46985918,-0.882741384,7.333687,23.008399,0.390866061,0.920447566,48.553066,-41.34708,-0.66061876,0.750721556
KA02,287,Throughfall,Anthophyta,Dicotyledoneae,Hamamelidales,Cercidiphyllaceae,Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Cercidiphyllum_japonicum_ott324758,Katsuratree,leaves,304.8,1587.682897,19.05219476,5.807108964,118.3189735,1.656465629,0.504890724,,10,Fair,Canopy near building and awning. Large diameter limbs,Clear from building. Reduce large diameter limbs,Low, ,West Village G,-71.092014,42.338527,393.789668,-42.085359,-0.670236997,0.742147133,76.44329,115.225947,0.904634141,-0.426189008,430.043262,-40.495301,-0.649385683,0.760459226,9.08432,118.00784,0.882883345,-0.469592375,67.084636,117.63243,0.885941207,-0.463797561,76.44329,115.225947,0.904634141,-0.426189008
KA03,769,Throughfall,Anthophyta,Dicotyledoneae,Hamamelidales,Cercidiphyllaceae,Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Cercidiphyllum_japonicum_ott324758,Katsuratree,leaves,240,1562.261482,18.74713778,4.499313068,128.5570512,1.799798716,0.431951692,,13,Good,None,None,None at this time, ,Egan Engineering facing Snell Engineering,-71.089046,42.337863,87.509795,-45.041266,-0.707615876,0.70659732,323.116792,118.371086,0.879888482,-0.475180239,118.784119,-42.790675,-0.679321879,0.733840435,13.25979,-46.180461,-0.721524152,0.692389268,70.288126,-49.163678,-0.756580675,0.653900361,87.509795,-45.041266,-0.707615876,0.70659732
KD01,268,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Cornaceae,Cornus,kousa,Cornus kousa,Cornus_kousa_ott22353,Kousa dogwood,leaves,345.6,1097.974009,13.17568811,4.55351781,52.0813779,0.729139291,0.251990539,,4,Fair,None,None,None at this time, ,Between West Village H and Cargill Hall,-71.091892,42.33891,423.166349,-44.763079,-0.704176821,0.710024651,30.126604,117.359578,0.888139834,-0.459573319,458.313831,-42.785743,-0.679258708,0.733898908,12.180014,24.981996,0.422333453,0.906440541,22.169153,117.191303,0.889485747,-0.456962916,30.126604,117.359578,0.888139834,-0.459573319
KD02,1020,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Cornaceae,Cornus,kousa,Cornus kousa,Cornus_kousa_ott22353,Kousa dogwood,leaves,1038.3,1019.848977,12.23818772,12.70691031,15.35019388,0.214902714,0.223133488,,6,Good,None,None,None at this time, ,Robinson facing Mugar,-71.086628,42.339439,60.235373,-42.827272,-0.679790473,0.733406377,240.933344,117.250619,0.889012195,-0.45788352,77.438141,-42.096372,-0.670379635,0.742018291,3.562279,-61.798902,-0.881294396,0.472567654,19.8233,23.008399,0.390866061,0.920447566,60.235373,-42.827272,-0.679790473,0.733406377
KD03,834,Throughfall,Anthophyta,Dicotyledoneae,Cornales,Cornaceae,Cornus,kousa,Cornus kousa,Cornus_kousa_ott22353,Kousa dogwood,leaves,345.2,#N/A,#N/A,#N/A,47.27554938,0.661857691,0.228473275,,8,Good,Multi lead,None,None at this time,In loving memory of Roslyn & Cecil Kopperman,Snell Library facing Curry Student Center,-71.087936,42.338811,101.063618,-43.747883,-0.691486365,0.722389512,256.141,118.375497,0.879851897,-0.475247977,121.838892,-42.924976,-0.68104013,0.732246094,6.762618,-61.899061,-0.882119147,0.471026338,79.664,-143.99243,-0.587892136,-0.808939328,101.063618,-43.747883,-0.691486365,0.722389512
KM01,1313,Throughfall,Anthophyta,Dicotyledoneae,Magnoliales,Magnoliaceae,Magnolia,kobus,Magnolia kobus,Magnolia_kobus_ott664531,Kobus magnolia,leaves,142.8,3037.859051,36.45430861,5.20567527,2264.552102,31.70372943,4.527292563,,10,Good,Codominant at 2 feet,None,None at this time, ,Spears facing Huntington,-71.089403,42.34049,393.804153,-43.747883,-0.691486365,0.722389512,43.877609,-61.628914,-0.879888482,0.475180239,412.768551,-42.134649,-0.670875198,0.741570272,4.511657,102.49084,0.976330597,-0.216283529,26.8703,-61.388158,-0.87788402,0.478873311,43.877609,-61.628914,-0.879888482,0.475180239
KM02,288,Throughfall,Anthophyta,Dicotyledoneae,Magnoliales,Magnoliaceae,Magnolia,kobus,Magnolia kobus,Magnolia_kobus_ott664531,Kobus magnolia,leaves,214.8,311.4771754,3.737726105,0.802863567,100.100448,1.401406271,0.301022067,,18,Good,Tri lead near base,None,None at this time, ,West Village G,-71.092223,42.338215,379.602536,-42.085359,-0.670236997,0.742147133,108.283808,118.395078,0.879689428,-0.475548641,417.228979,-40.565817,-0.650321116,0.759659428,6.659727,-16.318766,-0.280981057,0.959713314,48.005299,-94.744805,-0.996573007,-0.082717849,108.283808,118.395078,0.879689428,-0.475548641
KM03,790,Throughfall,Anthophyta,Dicotyledoneae,Magnoliales,Magnoliaceae,Magnolia,kobus,Magnolia kobus,Magnolia_kobus_ott664531,Kobus magnolia,leaves,571.4,457.9300048,5.495160058,3.139934457,95.24270735,1.333397903,0.761903562,,12,Fair,Codominant near base.,None,None at this time,In recognition of 20th anniversary of Justice George Lewis Ruffin Society,Egan Research Center,-71.089428,42.337348,62.840058,-44.763079,-0.704176821,0.710024651,366.996788,118.199441,0.881308062,-0.472542167,97.302466,-42.785743,-0.679258708,0.733898908,7.623046,32.429709,0.536264524,0.844049975,21.2124,-160.410021,-0.335286799,-0.942116109,62.840058,-44.763079,-0.704176821,0.710024651
LI01,1332,Throughfall,Anthophyta,Dicotyledoneae,Malvales,Malvaceae,Tilia,cordata,Tilia cordata,Tilia_cordata_ott218598,Littleleaf linden,leaves,865.8,5059.163486,60.70996183,52.56268495,205.2553607,2.87357505,2.487941278,,23,Good,Susceptible to aphids. Codominant at 10 feet. Small deadwood,Reduce,Low, ,Stetson West facing Speare,-71.09016,42.340839,491.072748,-43.747883,-0.691486365,0.722389512,130.208985,-61.628914,-0.879888482,0.475180239,510.806485,-40.393424,-0.648032493,0.761612689,14.618426,118.298285,0.880491544,-0.474061854,9.927084,-61.039939,-0.874957439,0.484199834,130.208985,-61.628914,-0.879888482,0.475180239
LI02,939,Throughfall,Anthophyta,Dicotyledoneae,Malvales,Malvaceae,Tilia,cordata,Tilia cordata,Tilia_cordata_ott218598,Littleleaf linden,leaves,195.3,1843.052562,22.11663074,4.319377984,126.3434127,1.768807778,0.345448159,,21,Fair,Aphids. Girdling roots,Root collar excavation,Low,Monitor and treat aphids as needed,Robinson south side,-71.086786,42.338977,25.776145,-43.747883,-0.691486365,0.722389512,294.712176,117.250619,0.889012195,-0.45788352,43.8365,-42.096372,-0.670379635,0.742018291,21.085819,118.20056,0.881298833,-0.472559379,4.543885,-53.916768,-0.808162282,0.588959868,25.776145,-43.747883,-0.691486365,0.722389512
LI03,737,Throughfall,Anthophyta,Dicotyledoneae,Malvales,Malvaceae,Tilia,cordata,Tilia cordata,Tilia_cordata_ott218598,Littleleaf linden,leaves,492.7,#N/A,#N/A,#N/A,72.150014,1.010100196,0.497676367,,21,Good,Aphids. Small deadwood,Crown clean,Low,Monitor aphids,Dana Research Center near Forsyth,-71.089719,42.337884,142.599944,-44.763079,-0.704176821,0.710024651,280.760212,120.017804,0.865869993,-0.500269083,175.823281,-42.785743,-0.679258708,0.733898908,24.302797,27.995825,0.469407223,0.8829818,14.670763,-173.195633,-0.11847965,-0.992956481,142.599944,-44.763079,-0.704176821,0.710024651
