"Ulmus_americana_ott706094","Zelkova_serrata_ott762463","Pyrus_calleryana_ott217646","Betula_papyrifera_ott267725","Betula_nigra_ott267696","Quercus_frainetto_ott1065845","Quercus_rubra_ott791115","Quercus_palustris_ott538292","Quercus_acutissima_ott272706","Fagus_sylvatica_ott774712","Gleditsia_triacanthos_ott677313","Acer_palmatum_ott506130","Acer_griseum_ott523216","Acer_rubrum_ott1039827","Acer_platanoides_ott948919","Koelreuteria_paniculata_ott463188","Tilia_cordata_ott218598","Cercidiphyllum_japonicum_ott324758","Liquidambar_styraciflua_ott62530","Ilex_opaca_ott660052","Cornus_kousa_ott22353","Cornus_florida_ott148264","Nyssa_sylvatica_ott671013","Magnolia_kobus_ott664531","Magnolia_stellata_ott664533","Magnolia_virginiana_ott863066","Juniperus_virginiana_ott78161","Callitropsis_nootkatensis_ott603160","Chamaecyparis_obtusa_ott324772","Thuja_occidentalis_ott463720","Metasequoia_glyptostroboides_ott47954","Pinus_resinosa_ott81207","Pinus_strobus_ott568616","Abies_concolor_ott876315"
9.91774722326915e-311,1.10199178505669e-310,9.91684967882965e-311,1.10182643336395e-310,1.10182643336395e-310,1.21197484694791e-310,1.32219402223648e-310,1.32219402223648e-310,9.91698230362389e-311,9.91691599125444e-311,7.71237579561382e-311,9.91601160318756e-311,1.10174283603949e-310,1.10174283604503e-310,9.91519142078303e-311,8.81459536404756e-311,7.71319649625171e-311,5.51248601384667e-311,5.51166531334711e-311,3.30671083916449e-311,0,1.10223693979469e-311,2.20365319902538e-311,6.61184656967484e-311,6.61184656967484e-311,4.40737269034287e-311,1.10199736278442e-310,9.91780300054641e-311,9.91773668817696e-311,8.81467904817619e-311,7.71326280895318e-311,8.81545456150687e-311,7.7132839342091e-311,7.7140383224222e-311
1.10199841628089e-310,1.21221547901067e-310,1.10190866183694e-310,1.21205012731792e-310,1.21205012731792e-310,1.32219854090189e-310,1.43241771619046e-310,1.43241771619046e-310,1.10192192431636e-310,1.10191529307942e-310,8.81461273515358e-311,1.10182485427273e-310,1.21196652999347e-310,1.211966529999e-310,1.10174283603228e-310,9.91683230358731e-311,8.81543343579147e-311,6.61472295338642e-311,6.61390225288687e-311,4.40894777870424e-311,1.10223693979469e-311,0,3.30589013856513e-311,7.71408350921459e-311,7.71408350921459e-311,5.50960962988262e-311,1.21222105673839e-310,1.10200399400862e-310,1.10199736277167e-310,9.91691598771594e-311,8.81549974849293e-311,9.91769150104662e-311,8.81552087374886e-311,8.81627526196196e-311
9.91692650263445e-311,1.10190971299322e-310,9.91602895819494e-311,1.10174436130048e-310,1.10174436130048e-310,1.21189277488444e-310,1.32211195017301e-310,1.32211195017301e-310,9.91616158298919e-311,9.91609527061973e-311,7.71155507497912e-311,9.91519088255286e-311,1.10166076397602e-310,1.10166076398155e-310,9.91437070014833e-311,8.81377464341286e-311,7.71237577561701e-311,5.51166529321196e-311,5.51084459271241e-311,3.30589011852978e-311,2.20365319902538e-311,3.30589013856513e-311,0,6.61102584904014e-311,6.61102584904014e-311,4.40655196970816e-311,1.10191529072095e-310,9.91698227991171e-311,9.91691596754225e-311,8.81385832754148e-311,7.71244208831848e-311,8.81463384087216e-311,7.7124632135744e-311,7.7132176017875e-311
9.91781351550346e-311,1.10199841428012e-310,9.91691597106395e-311,1.10183306258738e-310,1.10183306258738e-310,1.21198147617134e-310,1.32220065145991e-310,1.32220065145991e-310,9.9170485958582e-311,9.91698228348874e-311,7.71244208784813e-311,9.91607789542187e-311,1.10174946526292e-310,1.10174946526846e-310,9.91525771301733e-311,8.81466165628186e-311,7.71326278848602e-311,5.51255230608097e-311,5.51173160558142e-311,5.5096096098448e-311,6.61184656967484e-311,7.71408350921459e-311,6.61102584904014e-311,0,2.20447387933444e-311,2.20447387933692e-311,1.10199072953396e-310,9.9177366680418e-311,9.91767035567235e-311,8.81461271567158e-311,7.71319647644857e-311,8.81538822900226e-311,7.71321760170449e-311,7.71397198991759e-311
9.91781351550346e-311,1.10199841428012e-310,9.91691597106395e-311,1.10183306258738e-310,1.10183306258738e-310,1.21198147617134e-310,1.32220065145991e-310,1.32220065145991e-310,9.9170485958582e-311,9.91698228348874e-311,7.71244208784813e-311,9.91607789542187e-311,1.10174946526292e-310,1.10174946526846e-310,9.91525771301733e-311,8.81466165628186e-311,7.71326278848602e-311,5.51255230608097e-311,5.51173160558142e-311,5.5096096098448e-311,6.61184656967484e-311,7.71408350921459e-311,6.61102584904014e-311,2.20447387933444e-311,0,2.20447387933692e-311,1.10199072953396e-310,9.9177366680418e-311,9.91767035567235e-311,8.81461271567158e-311,7.71319647644857e-311,8.81538822900226e-311,7.71321760170449e-311,7.71397198991759e-311
7.71333963617148e-311,8.81551026346925e-311,7.71244209173198e-311,8.81385674654179e-311,8.81385674654179e-311,9.91534088238144e-311,1.10175326352671e-310,1.10175326352671e-310,7.71257471652622e-311,7.71250840415677e-311,5.50796820851615e-311,7.71160401608989e-311,8.81302077329725e-311,8.81302077335258e-311,7.71078383368536e-311,6.61018777694989e-311,5.50878890915404e-311,3.308078426749e-311,3.30725772624944e-311,3.30513573051283e-311,4.40737269034287e-311,5.50960962988262e-311,4.40655196970816e-311,2.20447387933692e-311,2.20447387933692e-311,0,8.8154334160076e-311,7.71326278870983e-311,7.71319647634037e-311,6.6101388363396e-311,5.5087225971166e-311,6.61091434967029e-311,5.50874372237252e-311,5.50949811058562e-311
1.43259405736728e-310,1.54281112009706e-310,1.43250430292333e-310,1.54264576840431e-310,1.54264576840431e-310,1.65279418198827e-310,1.76301335727684e-310,1.76301335727684e-310,1.43251756540275e-310,1.43251093416581e-310,1.21205691460175e-310,1.43242049535912e-310,1.54256217107986e-310,1.54256217108539e-310,1.43233847711867e-310,1.32227887144512e-310,1.21213898466554e-310,9.92067936425031e-311,9.91985866375075e-311,9.91773666801414e-311,1.10199736278442e-310,1.21222105673839e-310,1.10191529072095e-310,1.10199072953396e-310,1.10199072953396e-310,8.8154334160076e-311,0,1.10230325203668e-311,3.30671081900167e-311,4.40812705816934e-311,5.50954329750301e-311,8.81456752850271e-311,7.71239690120494e-311,7.71315128941804e-311
1.3223769946375e-310,1.43259405736728e-310,1.32228724019355e-310,1.43242870567453e-310,1.43242870567453e-310,1.5425771192585e-310,1.65279629454707e-310,1.65279629454707e-310,1.32230050267298e-310,1.32229387143603e-310,1.10183985187197e-310,1.32220343262934e-310,1.43234510835008e-310,1.43234510835561e-310,1.32212141438889e-310,1.21206180871534e-310,1.10192192193576e-310,8.81850873695254e-311,8.81768803645299e-311,8.81556604071637e-311,9.91780300054641e-311,1.10200399400862e-310,9.91698227991171e-311,9.9177366680418e-311,9.9177366680418e-311,7.71326278870983e-311,1.10230325203668e-311,0,2.2045401917039e-311,3.30595643087157e-311,4.40737267020525e-311,7.71239690120494e-311,6.61022627390717e-311,6.61098066212028e-311
1.32237036340056e-310,1.43258742613033e-310,1.32228060895661e-310,1.43242207443759e-310,1.43242207443759e-310,1.54257048802155e-310,1.65278966331012e-310,1.65278966331012e-310,1.32229387143603e-310,1.32228724019909e-310,1.10183322063502e-310,1.3221968013924e-310,1.43233847711313e-310,1.43233847711867e-310,1.32211478315194e-310,1.2120551774784e-310,1.10191529069881e-310,8.81844242458309e-311,8.81762172408353e-311,8.81549972834691e-311,9.91773668817696e-311,1.10199736277167e-310,9.91691596754225e-311,9.91767035567235e-311,9.91767035567235e-311,7.71319647634037e-311,3.30671081900167e-311,2.2045401917039e-311,0,3.30589011850211e-311,4.40730635783579e-311,7.71233058883549e-311,6.61015996153772e-311,6.61091434975082e-311
1.21206459940048e-310,1.32228166213026e-310,1.21197484495653e-310,1.32211631043751e-310,1.32211631043751e-310,1.43226472402148e-310,1.54248389931005e-310,1.54248389931005e-310,1.21198810743595e-310,1.21198147619901e-310,9.91527456634947e-311,1.21189103739232e-310,1.32203271311306e-310,1.32203271311859e-310,1.21180901915187e-310,1.10174941347832e-310,9.91609526698736e-311,7.71538478458232e-311,7.71456408408276e-311,7.71244208834614e-311,8.81467904817619e-311,9.91691598771594e-311,8.81385832754148e-311,8.81461271567158e-311,8.81461271567158e-311,6.6101388363396e-311,4.40812705816934e-311,3.30595643087157e-311,3.30589011850211e-311,0,3.30424871783502e-311,6.60927294883472e-311,5.50710232153695e-311,5.50785670975005e-311
